ID,Age,Gender,Experience_years,Species,Experience,Hunch,Glance,Apaja,Familiar,Delicious,Protect,Parents,Grandparents,OtherRelatives,Books,Internet,Course,Other,FunHobby,Food,ResearchOrScience,Relax,NatureExperience,Exercise,SocialActivity,SpeciesPicture1,SpeciesPicture2,Heuristics,Reported_Heuristics1,Reported_Heuristics2,Reported_Heuristics3
2,37,F,6,2,2,4,1,4,4,4,1,x,,,,,,x,x,x,,,x,x,x,,,4,Pick Sources,Lookalike,Familiar
3,35,F,2,4,1,4,2,4,2,1,1,,,,x,x,,,x,x,,x,x,x,,FunnelChanterelle Bolete HygrophorusCamarophyllus SweetTooth AlbatrellusOvinus,Agaricus  Bolete,3,,Sponge ,
4,27,F,7,2,2,4,1,4,4,4,4,x,x,,,,,,x,x,,x,x,,,FunnelChanterelle,,2,Eat,Pick,
5,34,F,3,4,4,4,4,5,4,1,4,x,,,x,x,,x,x,x,,x,x,x,,FunnelChanterelle Lactarius,   WoollyMilkcap ,4,Pick,Pick,
6,58,F,40,4,4,4,4,4,4,2,4,x,,,x,,,,x,x,,x,x,,x,FunnelChanterelle Bolete Lactarius,Bolete Russula  Chanterelle,4,Pick Eat Milk,Pick,Morel Mossy
7,48,M,10,3,4,4,3,4,2,3,4,x,,,x,x,,,x,x,,x,x,x,,FunnelChanterelle,Bolete,4,Equipment,Sponge Milk,Kosteus
8,36,F,2,3,2,4,2,4,4,2,3,,x,,x,,,x,x,x,,x,x,x,,Chanterelle Bolete FunnelChanterelle AlbatrellusOvinus Lactarius Russula HornOfPlenty,Bolete,5,Pick Eat Unidentified,Poisonous Lookalike,Mossy
9,37,F,13,3,4,4,3,4,5,1,3,x,,,x,x,,x,x,x,,x,x,x,x,AlbatrellusOvinus Chanterelle SweetTooth FunnelChanterelle,Porcini  FalseSaffronMilkcap,5,Pick Eat,Sponge Smell ,
10,30,F,2,3,3,4,4,2,2,2,1,,,,,x,,x,x,x,,x,x,,,AlbatrellusOvinus FalseSaffronMilkcap Lactarius Agaricus Hydnum,Chanterelle  Porcini,2,Sources,,Spruces
11,31,F,5,2,4,5,4,5,4,2,5,x,x,,x,x,,,x,x,,x,x,x,,FunnelChanterelle Lactarius,Chanterelle,5,Pick,Terrain Milk Smell Sponge,Kosteus
12,37,F,10,4,4,4,4,5,4,2,2,,x,,x,x,,,x,x,,,x,,,FunnelChanterelle Bolete HygrophorusCamarophyllus AlbatrellusOvinus,Bolete,2,Pick,Poisonous,
13,35,F,4,3,4,4,2,5,5,1,5,x,,,,,,,x,x,,x,x,,,FunnelChanterelle Chanterelle Bolete Lactarius,HornOfPlenty  Leccinum,5,Pick,One,
